工作計畫名稱及預算數(僅列補助團體私人預算金額),補助事項或用途,補助對象(團體全銜或私人姓名)        ,核准日期,補助計畫案總經費及分攤情形-本機關補助金額,補助計畫案總經費及分攤情形-他機關補助金額,補助計畫案總經費及分攤情形-團體或私人自付金額,補助計畫案總經費及分攤情形-合計,截至本季累計撥款金額,分攤補助款機關名稱及金額(請逐一填列),有無涉及財物或勞務採購,處理方式(如未涉及採購則毋須填列如採公開招標請填列得標廠商),是否為除外規定之民間團體-是,是否為除外規定之民間團體-否,,,,,,,
國民中學學務管理及獎補助(3000000元),,,,,,,0,0,,,,,,,,,,,,
中央補助國民中學教育經費(0元),補助國中畢業生多元進路宣導說明會經費,慈濟學校財團法人慈濟大學附屬高級中學,102.05.01,1696,0,0,1696,1696,,無,,v,,,,,,,,
,補助國中畢業生多元進路宣導說明會經費,財團法人臺灣省花蓮縣私立海星高級中學,102.05.01,3200,0,0,3200,3200,,無,,v,,,,,,,,
國民小學學務管理及獎補助(3019000元),補助辦理「遠哲科學紮根體驗營」活動經費,財團法人遠哲科學教育基金會,102.01.16,20000,0,0,20000,20000,,無,,v,,,,,,,,
,478431號調查費,財團法人花蓮縣私立海星國民小學,102.01.30,4000,0,0,4000,4000,,無,,v,,,,,,,,
,101學年第2學期縣課輔經費,財團法人臺灣省花蓮縣私立海星高級中學,102.04.23,564243,0,0,564243,564243,,無,,v,,,,,,,,
,101學年第2學期縣課輔經費,財團法人花蓮縣私立海星國民小學,102.04.23,373996,0,0,373996,373996,,無,,v,,,,,,,,
,101學年第2學期縣課輔經費(國中),慈濟學校財團法人慈濟大學附屬高級中學,102.04.23,425980,0,0,425980,425980,,無,,v,,,,,,,,
,101學年第2學期縣課輔經費(國小),慈濟學校財團法人慈濟大學附屬高級中學,102.04.23,315626,0,0,315626,315626,,無,,v,,,,,,,,
,辦理化學下鄉活動,中國化學會,102.07.05,75000,0,156500,231500,75000,,無,,v,,,,,,,,
中央補助國民小學教育經費(0元),102年度國民小學充實行政人力第一期款,財團法人花蓮縣私立海星國民小學,102.03.05,300000,0,0,300000,300000,,無,,v,,,,,,,,
,102年度國民小學充實行政人力第一期款-慈濟附小,慈濟學校財團法人慈濟大學附屬高級中學,102.03.05,300000,0,0,300000,300000,,無,,v,,,,,,,,
幼兒教育管理及獎補助(0元),101學年度幼兒園輔導計畫方案二,花蓮縣私立佳姿幼兒園,102.03.06,44010,0,0,44010,44010,,無,,v,,,,,,,,
,101/2學期公私立幼稚園輔導計畫方案二,花蓮縣私立佳姿幼兒園,102.08.26,44010,0,0,44010,44010,,無,,v,,,,,,,,
,101/2學期公私立幼稚園輔導計畫方案二,財團法人天主教會花蓮教區附設花蓮縣私立安德幼兒園,102.08.26,60800,0,0,60800,60800,,無,,v,,,,,,,,
中央補助幼兒教育經費(45000元),101學年第2學期5歲幼兒免學費教育計畫-行政作業,國立東華大學,102.04.17,280,0,0,280,280,,無,,v,,,,,,,,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立國恩幼兒園,102.04.17,100,0,0,100,100,,無,,v,,,,,,,,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立小樹幼兒園,102.04.17,580,0,0,580,580,,無,,v,,,,,,,,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立德蕾幼兒園,102.04.17,200,0,0,200,200,,無,,v,,,,,,,,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立吳甦樂幼兒園,102.04.17,1200,0,0,1200,1200,,無,,v,,,,,,,,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,私立海星高級中學附設花蓮縣海星幼兒園,102.04.17,940,0,0,940,940,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立安德幼兒園,102.04.18,340,0,0,340,340,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立小Y幼兒園,102.04.18,600,0,0,600,600,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立YY幼兒園,102.04.18,600,0,0,600,600,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立書樂幼兒園,102.04.18,480,0,0,480,480,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立爾雅之家蒙特梭利幼兒園,102.04.18,300,0,0,300,300,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立普慧幼兒園,102.04.18,60,0,0,60,60,,無,,v,,,,,,,,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立安琪兒幼兒園,102.04.18,140,0,0,140,140,,無,,v,,,,,,,,
